sequence,method,z,value,strain_energy,optimal_params
fixed_base_tetration,hermite_cubic,0.5,1.185081003812305,0.008993636703565705,"{""left_derivative"": 0.14523922042703075, ""right_derivative"": 0.05359384902143866}"
fixed_base_tetration,hermite_cubic,1.5,1.3646840080446423,0.008993636703565705,"{""left_derivative"": 0.14523922042703075, ""right_derivative"": 0.05359384902143866}"
fixed_base_tetration,hermite_cubic,2.5,1.4305290144006957,0.008993636703565705,"{""left_derivative"": 0.14523922042703075, ""right_derivative"": 0.05359384902143866}"
fixed_base_tetration,hermite_cubic,3.5,1.4554566390581216,0.008993636703565705,"{""left_derivative"": 0.14523922042703075, ""right_derivative"": 0.05359384902143866}"
fixed_base_tetration,hermite_quintic,0.5,1.1878758780941705,0.009700635833885585,"{""left_derivative"": 0.15042266415045955, ""left_second_derivative"": -0.11257899390669986, ""right_derivative"": 0.05550656033665903, ""right_second_derivative"": -0.039351499842269544}"
fixed_base_tetration,hermite_quintic,1.5,1.3656850638750218,0.009700635833885585,"{""left_derivative"": 0.15042266415045955, ""left_second_derivative"": -0.11257899390669986, ""right_derivative"": 0.05550656033665903, ""right_second_derivative"": -0.039351499842269544}"
fixed_base_tetration,hermite_quintic,2.5,1.4309047797108723,0.009700635833885585,"{""left_derivative"": 0.15042266415045955, ""left_second_derivative"": -0.11257899390669986, ""right_derivative"": 0.05550656033665903, ""right_second_derivative"": -0.039351499842269544}"
fixed_base_tetration,hermite_quintic,3.5,1.4556001358016533,0.009700635833885585,"{""left_derivative"": 0.15042266415045955, ""left_second_derivative"": -0.11257899390669986, ""right_derivative"": 0.05550656033665903, ""right_second_derivative"": -0.039351499842269544}"
fixed_base_tetration,chebyshev,0.5,1.1665658211706222,3.8963923313850852,"{""left_derivative"": 0.12733015135142844, ""right_derivative"": 0.04698533142315981}"
fixed_base_tetration,chebyshev,1.5,1.3580708276414613,3.8963923313850852,"{""left_derivative"": 0.12733015135142844, ""right_derivative"": 0.04698533142315981}"
fixed_base_tetration,chebyshev,2.5,1.4280491095809564,3.8963923313850852,"{""left_derivative"": 0.12733015135142844, ""right_derivative"": 0.04698533142315981}"
fixed_base_tetration,chebyshev,3.5,1.454509971076091,3.8963923313850852,"{""left_derivative"": 0.12733015135142844, ""right_derivative"": 0.04698533142315981}"
factorial_type,hermite_cubic,0.5,0.8928571428571429,1.7142857142857144,"{""left_derivative"": 0.2857142857142858, ""right_derivative"": 1.5714285714285716}"
factorial_type,hermite_cubic,1.5,1.3392857142857144,1.7142857142857144,"{""left_derivative"": 0.2857142857142858, ""right_derivative"": 1.5714285714285716}"
factorial_type,hermite_cubic,2.5,3.348214285714286,1.7142857142857144,"{""left_derivative"": 0.2857142857142858, ""right_derivative"": 1.5714285714285716}"
factorial_type,hermite_cubic,3.5,11.718750000000002,1.7142857142857144,"{""left_derivative"": 0.2857142857142858, ""right_derivative"": 1.5714285714285716}"
factorial_type,hermite_quintic,0.5,0.8866263339365833,1.8258064516039667,"{""left_derivative"": 0.31612925019092963, ""left_second_derivative"": 0.5483873531464952, ""right_derivative"": 1.6322585003818593, ""right_second_derivative"": 1.7290332066748497}"
factorial_type,hermite_quintic,1.5,1.329939500904875,1.8258064516039667,"{""left_derivative"": 0.31612925019092963, ""left_second_derivative"": 0.5483873531464952, ""right_derivative"": 1.6322585003818593, ""right_second_derivative"": 1.7290332066748497}"
factorial_type,hermite_quintic,2.5,3.324848752262187,1.8258064516039667,"{""left_derivative"": 0.31612925019092963, ""left_second_derivative"": 0.5483873531464952, ""right_derivative"": 1.6322585003818593, ""right_second_derivative"": 1.7290332066748497}"
factorial_type,hermite_quintic,3.5,11.636970632917654,1.8258064516039667,"{""left_derivative"": 0.31612925019092963, ""left_second_derivative"": 0.5483873531464952, ""right_derivative"": 1.6322585003818593, ""right_second_derivative"": 1.7290332066748497}"
factorial_type,chebyshev,0.5,0.8864073985196589,6.5437781185303034,"{""left_derivative"": 0.30859905327036546, ""right_derivative"": 1.6171981065407315}"
factorial_type,chebyshev,1.5,1.3296110977794884,6.5437781185303034,"{""left_derivative"": 0.30859905327036546, ""right_derivative"": 1.6171981065407315}"
factorial_type,chebyshev,2.5,3.324027744448721,6.5437781185303034,"{""left_derivative"": 0.30859905327036546, ""right_derivative"": 1.6171981065407315}"
factorial_type,chebyshev,3.5,11.634097105570524,6.5437781185303034,"{""left_derivative"": 0.30859905327036546, ""right_derivative"": 1.6171981065407315}"
